Rankings	Company	Industry
602.	Edison International	Utilities
602.	Financiere de l'Odet	Transportation
602.	Sumitomo Mitsui Trust	Banking
605.	Entergy	Utilities
605.	Swisscom	Telecommunications Services
607.	EnBW-Energie Baden	Utilities
608.	Hikvision	Technology Hardware & Equipment
609.	Nippon Yusen	Transportation
610.	Stanley Black & Decker	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
611.	Oneok	Oil & Gas Operations
612.	Marriott International	Travel & Leisure
613.	Warner Bros. Discovery	Media
614.	S.F. Holding	Business Services & Supplies
615.	Delta Air Lines	Transportation and Logistics
616.	Bharat Petroleum	Oil & Gas Operations
617.	Halliburton	Oil & Gas Operations
618.	Metallurgical Corp of China	Construction
619.	Northern Trust	Banking
620.	HeidelbergCement	Construction
621.	China Steel	Materials
621.	Eversource Energy	Utilities
623.	Sany Heavy Industry	Capital Goods
624.	Hermès International	Retail and Wholesale
625.	International Paper	Materials
626.	Koç Holding	Oil & Gas Operations
627.	Nidec	Capital Goods
628.	Meituan 	IT Software & Services
629.	Kotak Mahindra Bank	Diversified Financials
630.	Teck Resources	Materials
631.	Southwest Airlines	Transportation and Logistics
632.	Deutsche Boerse	Diversified Financials
633.	Labcorp	Health Care Equipment & Services
634.	China Tower Corp.	Telecommunications Services
635.	Inpex	Oil & Gas Operations
636.	Coca-Cola European Partners	Food, Soft Beverages, Alcohol & Tobacco
637.	Wuliangye Yibin	Food, Drink & Tobacco
638.	Shimao Property Holdings	Construction
639.	Idemitsu Kosan	Oil & Gas Operations
640.	Formosa Petrochemical	Oil & Gas Operations
641.	Crown Castle International	Diversified Financials
642.	FirstEnergy	Utilities
643.	Rongsheng Petrochemical	Household & Personal Products
644.	Hindalco Industries	Materials
645.	Bank Of Hangzhou	Banking
645.	Renault	Consumer Durables
647.	International Holding Company	Food, Drink & Tobacco
648.	Cincinnati Financial	Insurance
649.	Mitsubishi Estate	Construction
650.	Cleveland-Cliffs	Materials
651.	Grupo ACS	Construction
652.	CGN Power	Utilities
653.	ASE Technology Holding	Semiconductors
654.	JFE Holdings	Materials
655.	DTE Energy	Utilities
656.	China Hongqiao Group	Materials
657.	NXP Semiconductors	Semiconductors
658.	Western Digital	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
659.	Booking Holdings	IT, Internet, Software & Services
660.	Aeon	Food Markets
661.	First Republic Bank	Banking
662.	Lufax Holding	IT Software & Services
663.	Atlas Copco	Engineering, Manufacturing
664.	Fidelity National Information (FIS)	IT, Internet, Software & Services
665.	Mitsubishi Chemical	Chemicals
666.	Edp-energias De Portugal	Utilities
666.	Kyocera	Technology Hardware & Equipment
668.	Xiamen C&D	Trading Companies
669.	AutoZone	Retail and Wholesale
670.	China Taiping Insurance	Insurance
671.	Cenovus Energy	Construction, Oil & Gas Operations, Mining and Chemicals
671.	Neste	Oil & Gas Operations
673.	Porsche Automobil Holding	Consumer Durables
674.	H&M - Hennes & Mauritz	Clothing, Shoes, Sports Equipment
675.	RELX	Business Services & Supplies
676.	PG&E	Utilities
677.	Republic Services	Utilities
678.	Ross Stores	Retailing
679.	WEC Energy Group	Utilities
680.	Cardinal Health	Retail and Wholesale
681.	CarMax	Retailing
681.	China Development Financial	Banking
683.	Riyad Bank	Banking
684.	Thomson Reuters	Media & Advertising
684.	Transneft	Oil & Gas Operations
686.	Ferguson	Trading Companies
686.	IQVIA	Drugs & Biotechnology
688.	Hong Kong Exchanges	Diversified Financials
689.	PPG 	Construction, Oil & Gas Operations, Mining and Chemicals
690.	Legend Holding	Technology Hardware & Equipment
691.	Ecolab	Business Services & Supplies
691.	Sinopharm Group	Drugs & Biotechnology
693.	Luxshare Precision Industry	Technology Hardware & Equipment
694.	Seazen Group	Construction
695.	Global Payments	Business Services & Supplies
696.	China Energy Engineering	Construction
697.	Safran	Aerospace & Defense
698.	S&P Global	Business Services & Supplies
699.	Huntington Bank	Banking
